customer_id,date_of_birth,income,gender,signup_date,country
CUST_00000001809,1980-04-09,4896 USD,M,2026-12-14,USA
CUST_00000000695,1945-08-02,7029,F,2023-11-26,BR
CUST_00000000907,1971-07-25,6432,F,2024-06-25,Austria
CUST_00000000545,2000-03-01,6107,M,2023-06-29,JP
CUST_00000001848,1943-09-06,7655,F,2027-01-22,Italy
CUST_00000001567,1980-09-14,2244,F,2026-04-16,CH
CUST_00000001573,1950-04-07,3262,F,2026-04-22,India
CUST_00000000945,1989-08-23,3976,M,2024-08-02,BR
CUST_00000000819,1946-03-09,3077 USD,F,2024-03-29,NL
CUST_00000000830,1981-03-30,,M,2024-04-09,BR
CUST_00000001531,1995-03-08,4667,F,2026-03-11,DE
CUST_00000000979,1990-01-24,,F,2024-09-05,Switzerland
CUST_00000001576,1989-06-18,2920,F,2026-04-25,Brazil
CUST_00000000786,1994-06-24,6613,F,2024-02-25,IT
CUST_00000000071,1960-11-19,4613,F,2022-03-12,FR
CUST_00000001007,1989-07-09,4551,F,2024-10-03,BR
CUST_00000000189,1969-01-29,6779,M,2022-07-08,China
CUST_00000001670,1987-08-04,7295,M,2026-07-28,Munch
CUST_00000001270,1969-02-06,4717,F,2025-06-23,USA
CUST_00000001305,1989-01-13,7954,F,2025-07-28,ES
CUST_00000001321,1949-07-26,7619,F,2025-08-13,UK
CUST_00000001112,1950-05-26,3970,F,2025-01-16,BR
CUST_00000001941,1953-11-25,4430,F,2027-04-25,Munch
CUST_00000001236,1995-11-30,6805,F,2025-05-20,Austria
CUST_00000000600,1999-07-23,2698,F,2023-08-23,Netherlands
CUST_00000000057,1989-07-11,3363,M,2022-02-26,Netherlands
CUST_00000001074,2000-04-24,5850,M,2024-12-09,Switzerland
CUST_00000001264,1979-10-21,4262,M,2025-06-17,AT
CUST_00000000766,1943-08-12,,F,2024-02-05,USA
CUST_00000001334,1940-09-22,2914,F,2025-08-26,Austria
CUST_00000001876,1972-08-24,7439,F,2027-02-19,FR
CUST_00000000583,1978-07-26,3687,F,2023-08-06,India
CUST_00000000713,1994-02-13,7651 EUR,F,2023-12-14,CA
CUST_00000001274,1973-08-17,3500,F,2025-06-27,USA
CUST_00000000384,1995-09-23,6014,M,,CN
CUST_00000001924,1987-03-23,2634,M,2027-04-08,Spain
CUST_00000000213,1994-06-02,7685 EUR,M,2022-08-01,Netherlands
CUST_00000000383,,,M,2023-01-18,JP
CUST_00000000487,1963-12-08,4744,M,2023-05-02,USA
CUST_00000001719,1940-09-08,5741,F,2026-09-15,US
CUST_00000000535,1957-01-19,4738,F,2023-06-19,ES
CUST_00000001554,1945-11-22,6346,M,2026-04-03,US
CUST_00000000125,1990-05-12,7991,F,2022-05-05,CA
CUST_00000000875,1957-02-20,5266,f,2024-05-24,ES
CUST_00000000553,1968-02-29,4896,M,2023-07-07,US
CUST_00000000030,1980-04-19,3082,M,2022-01-30,NL
CUST_00000001735,2003-02-16,7352,M,2026-10-01,USA
CUST_00000001316,1980-12-25,3311,F,2025-08-08,Japan
CUST_00000001419,1998-02-07,3386,F,2025-11-19,CH
CUST_00000001405,1992-06-10,7868,F,05/11/25,BR
CUST_00000000343,1945-02-06,5067,F,2022-12-09,Germany
CUST_00000000308,1890-01-01,,F,2022-11-04,Spain
CUST_00000001288,1995-08-06,6926,F,11/07/25,US
CUST_00000000773,1961-05-26,7898,F,2024-02-12,IT
CUST_00000001777,1970-06-17,7043,F,2026-11-12,Austria
CUST_00000000112,1990-11-19,5561,M,2022-04-22,IT
CUST_00000001918,1997-09-23,2105,M,2027-04-02,Netherlands
CUST_00000000716,1959-09-08,5376,F,2023-12-17,Canada
CUST_00000000986,1974-02-15,5735,M,2024-09-12,FR
CUST_00000001775,1975-07-04,2762,M,2026-11-10,India
CUST_00000001044,1993-05-20,2320,M,2024-11-09,Munch
CUST_00000000101,,7248,F,2022-04-11,France
CUST_00000000591,2000-08-11,6968,F,2023-08-14,France
CUST_00000001058,1979-04-10,2235,M,2024-11-23,AT
CUST_00000000290,1952-07-29,6682,F,2022-10-17,Italy
CUST_00000000611,1942-03-11,7486,M,2023-09-03,FR
CUST_00000001129,1958-04-06,5068,M,2025-02-02,DE
CUST_00000000066,1944-02-10,3585,F,2022-03-07,BR
CUST_00000001572,2002-12-16,3771 USD,M,2026-04-21,BR
CUST_00000000975,1967-04-05,3460,F,2024-09-01,BR
CUST_00000000306,1954-12-02,5777,F,2022-11-02,Canada
CUST_00000001111,1969-01-01,5110,F,15/01/25,CN
CUST_00000001658,1971-06-29,6265,M,16/07/26,NL
CUST_00000000129,1978-06-08,7581,F,2022-05-09,UK
CUST_00000000708,1974-12-27,4811 EUR,F,2023-12-09,Brazil
CUST_00000001800,1953-09-18,3823,F,,Austria
CUST_00000001650,2002-03-19,,M,08/07/26,BR
CUST_00000000421,1958-11-23,6146,M,2023-02-25,ES
CUST_00000001290,,6150,F,2025-07-13,CA
CUST_00000000924,1983-06-10,5287,M,2024-07-12,CA
CUST_00000000415,1949-08-08,7211,F,2023-02-19,Switzerland
CUST_00000000454,1943-03-26,5675,M,2023-03-30,CH
CUST_00000001533,2005-03-30,2130,m,2026-03-13,Germany
CUST_00000001357,1997-12-26,4901,Female,2025-09-18,AT
CUST_00000000394,1946-03-04,6341 EUR,F,2023-01-29,Spain
CUST_00000000238,,2608 EUR,M,,Canada
CUST_00000000211,1963-10-12,6097,M,2022-07-30,NL
CUST_00000000212,1987-05-04,6737,F,31/07/22,CH
CUST_00000000702,1991-08-25,6910,F,2023-12-03,China
CUST_00000001852,,2526,F,2027-01-26,Switzerland
CUST_00000001682,1993-06-28,7233,M,2026-08-09,India
CUST_00000001293,1952-11-02,3481,M,2025-07-16,CH
CUST_00000001608,1992-08-12,6867,F,2026-05-27,Netherlands
CUST_00000001054,1964-06-03,5677,M,2024-11-19,CH
CUST_00000000533,1974-07-23,6000,F,2023-06-17,NL
CUST_00000001542,1976-01-12,2920,F,2026-03-22,Austria
CUST_00000000307,1976-06-17,4869,F,2022-11-03,AT
